BordersRiver,PupilTeacherRatio,MedianValueInThousands
0,15.3,24
0,17.8,21.6
0,17.8,34.7
0,18.7,33.4
0,18.7,36.2
0,18.7,28.7
0,15.2,22.9
0,15.2,27.1
0,15.2,16.5
0,15.2,18.9
0,15.2,15
0,15.2,18.9
0,15.2,21.7
0,21,20.4
0,21,18.2
0,21,19.9
0,21,23.1
0,21,17.5
0,21,20.2
0,21,18.2
0,21,13.6
0,21,19.6
0,21,15.2
0,21,14.5
0,21,15.6
0,21,13.9
0,21,16.6
0,21,14.8
0,21,18.4
0,21,21
0,21,12.7
0,21,14.5
0,21,13.2
0,21,13.1
0,21,13.5
0,19.2,18.9
0,19.2,20
0,19.2,21
0,19.2,24.7
0,18.3,30.8
0,18.3,34.9
0,17.9,26.6
0,17.9,25.3
0,17.9,24.7
0,17.9,21.2
0,17.9,19.3
0,17.9,20
0,17.9,16.6
0,17.9,14.4
0,17.9,19.4
0,16.8,19.7
0,16.8,20.5
0,16.8,25
0,16.8,23.4
0,21.1,18.9
0,17.9,35.4
0,17.3,24.7
0,15.1,31.6
0,19.7,23.3
0,19.7,19.6
0,19.7,18.7
0,19.7,16
0,19.7,22.2
0,19.7,25
0,18.6,33
0,16.1,23.5
0,16.1,19.4
0,18.9,22
0,18.9,17.4
0,18.9,20.9
0,19.2,24.2
0,19.2,21.7
0,19.2,22.8
0,19.2,23.4
0,18.7,24.1
0,18.7,21.4
0,18.7,20
0,18.7,20.8
0,18.7,21.2
0,18.7,20.3
0,19,28
0,19,23.9
0,19,24.8
0,19,22.9
0,18.5,23.9
0,18.5,26.6
0,18.5,22.5
0,18.5,22.2
0,17.8,23.6
0,17.8,28.7
0,17.8,22.6
0,17.8,22
0,18.2,22.9
0,18.2,25
0,18.2,20.6
0,18,28.4
0,18,21.4
0,18,38.7
0,18,43.8
0,18,33.2
0,20.9,27.5
0,20.9,26.5
0,20.9,18.6
0,20.9,19.3
0,20.9,20.1
0,20.9,19.5
0,20.9,19.5
0,20.9,20.4
0,20.9,19.8
0,20.9,19.4
0,20.9,21.7
0,17.8,22.8
0,17.8,18.8
0,17.8,18.7
0,17.8,18.5
0,17.8,18.3
0,17.8,21.2
0,17.8,19.2
0,17.8,20.4
0,17.8,19.3
0,19.1,22
0,19.1,20.3
0,19.1,20.5
0,19.1,17.3
0,19.1,18.8
0,19.1,21.4
0,19.1,15.7
0,21.2,16.2
0,21.2,18
0,21.2,14.3
0,21.2,19.2
0,21.2,19.6
0,21.2,23
0,21.2,18.4
0,21.2,15.6
0,21.2,18.1
0,21.2,17.4
0,21.2,17.1
0,21.2,13.3
0,21.2,17.8
0,21.2,14
0,21.2,14.4
1,14.7,13.4
0,14.7,15.6
0,14.7,11.8
0,14.7,13.8
0,14.7,15.6
0,14.7,14.6
0,14.7,17.8
0,14.7,15.4
0,14.7,21.5
0,14.7,19.6
1,14.7,15.3
0,14.7,19.4
1,14.7,17
1,14.7,15.6
0,14.7,13.1
0,14.7,41.3
0,14.7,24.3
0,14.7,23.3
1,14.7,27
0,14.7,50
1,14.7,50
1,14.7,50
0,14.7,22.7
0,14.7,25
0,14.7,50
0,14.7,23.8
0,14.7,23.8
0,14.7,22.3
0,14.7,17.4
0,14.7,19.1
0,16.6,23.1
0,16.6,23.6
0,16.6,22.6
0,16.6,29.4
0,16.6,23.2
0,16.6,24.6
0,16.6,29.9
0,17.8,37.2
0,17.8,39.8
0,17.8,36.2
0,17.8,37.9
0,17.8,32.5
0,17.8,26.4
0,17.8,29.6
0,17.8,50
0,15.2,32
0,15.2,29.8
0,15.2,34.9
0,15.2,37
0,15.2,30.5
0,15.2,36.4
0,15.6,31.1
0,15.6,29.1
0,14.4,50
0,12.6,33.3
0,12.6,30.3
0,12.6,34.6
0,17,34.9
0,17,32.9
0,14.7,24.1
0,14.7,42.3
0,14.7,48.5
0,14.7,50
0,18.6,22.6
0,18.6,24.4
0,18.6,22.5
1,18.6,24.4
1,18.6,20
1,18.6,21.7
1,18.6,19.3
1,18.6,22.4
0,18.6,28.1
0,18.6,23.7
0,18.6,25
1,16.4,23.3
0,16.4,28.7
1,16.4,21.5
1,16.4,23
1,17.4,26.7
1,17.4,21.7
1,17.4,27.5
0,17.4,30.1
0,17.4,44.8
0,17.4,50
0,17.4,37.6
0,17.4,31.6
0,17.4,46.7
0,17.4,31.5
0,17.4,24.3
0,17.4,31.7
